time,thscode,ths_chg_ratio_m_stock
2014-01-30,300144.SZ,15.600624024961
2014-01-30,600029.SH,-4.3636363636364
2014-01-30,600690.SH,8.6153846153846
2014-01-30,601958.SH,-10.896551724138
2014-01-30,002673.SZ,-7.0454545454545
2014-01-30,600031.SH,-7.4766355140187
2014-01-30,002236.SZ,-10.3228962818
2014-01-30,601988.SH,-4.1984732824428
2014-01-30,002385.SZ,-15.474006116208
2014-01-30,000651.SZ,-13.16595223515
2014-01-30,002074.SZ,6.7857142857143
2014-01-30,002456.SZ,-11.668053244592
2014-01-30,000826.SZ,-5.0
2014-01-30,600886.SH,6.8702290076336
2014-01-30,000786.SZ,-14.685714285714
2014-01-30,601186.SH,-12.366737739872
2014-01-30,000625.SZ,-5.589519650655
2014-01-30,601012.SH,-0.064892926670983
2014-01-30,300015.SZ,4.7741108619032
2014-01-30,600050.SH,-6.5420560747664
2014-01-30,601933.SH,8.4273890142965
2014-01-30,002624.SZ,8.6230876216968
2014-01-30,600157.SH,-13.9146567718
2014-01-30,002024.SZ,14.950166112957
2014-01-30,601099.SH,29.579831932773
2014-01-30,600196.SH,-8.371618172537
2014-01-30,600018.SH,-5.8712121212121
2014-01-30,600900.SH,-4.5886075949367
2014-01-30,600271.SH,2.2806147744174
2014-01-30,600585.SH,-6.4268867924528
2014-01-30,600016.SH,-4.9222797927461
2014-01-30,002470.SZ,2.018779342723
2014-01-30,601607.SH,-9.4658553076403
2014-01-30,600741.SH,-12.721893491124
2014-01-30,600372.SH,8.5917854149204
2014-01-30,000768.SZ,-2.8301886792453
2014-01-30,601390.SH,-10.074626865672
2014-01-30,002065.SZ,15.94674556213
2014-01-30,002007.SZ,4.7038327526132
2014-01-30,601727.SH,-4.5945945945946
2014-01-30,600066.SH,2.1640091116173
2014-01-30,600570.SH,5.5608820709492
2014-01-30,000568.SZ,-18.718967229394
2014-01-30,601718.SH,-5.0541516245487
2014-01-30,000959.SZ,-4.8780487804878
2014-01-30,000792.SZ,-10.938433950986
2014-01-30,300027.SZ,10.38820992092
2014-01-30,000338.SZ,-7.8947368421053
2014-01-30,000963.SZ,0.26086956521738
2014-01-30,600010.SH,-7.4245939675174
2014-01-30,002294.SZ,-7.703488372093
2014-01-30,600104.SH,-8.2036775106082
2014-01-30,601377.SH,-3.9112050739958
2014-01-30,300251.SZ,38.326954620011
2014-01-30,002500.SZ,-1.5942028985507
2014-01-30,300059.SZ,26.548089591568
2014-01-30,600887.SH,-9.2886386898669
2014-01-30,600390.SH,25.274725274725
2014-01-30,002594.SZ,2.5743099787686
2014-01-30,600816.SH,7.7894736842105
2014-01-30,002153.SZ,34.793597304128
2014-01-30,601336.SH,-5.9003496503496
2014-01-30,600703.SH,-3.6708350141186
2014-01-30,600660.SH,-7.4788902291918
2014-01-30,601899.SH,-3.030303030303
2014-01-30,000503.SZ,11.33971291866
2014-01-30,002310.SZ,-15.687480775146
2014-01-30,300017.SZ,42.007083825266
2014-01-30,000402.SZ,-5.9273422562142
2014-01-30,000709.SZ,-12.0
2014-01-30,601766.SH,-15.369261477046
2014-01-30,601633.SH,-11.221763419966
2014-01-30,600188.SH,-17.454954954955
2014-01-30,000001.SZ,-6.9387755102041
2014-01-30,002146.SZ,-1.0
2014-01-30,601888.SH,-3.5816618911175
2014-01-30,600383.SH,-9.4311377245509
2014-01-30,600498.SH,-5.7142857142857
2014-01-30,600085.SH,-13.177570093458
2014-01-30,601998.SH,-6.71834625323
2014-01-30,600438.SH,-0.22346368715082
2014-01-30,601877.SH,-3.2154340836013
2014-01-30,000538.SZ,-9.9617609569566
2014-01-30,002202.SZ,15.776986951364
2014-01-30,601628.SH,-9.319233311302
2014-01-30,600482.SH,-3.80859375
2014-01-30,002601.SZ,1.7785427423982
2014-01-30,601901.SH,-4.7377326565144
2014-01-30,002508.SZ,-4.5086119554204
2014-01-30,600019.SH,-7.3349633251834
2014-01-30,600549.SH,-13.186356073211
2014-01-30,000858.SZ,-6.5134099616858
2014-01-30,600153.SH,-14.545454545455
2014-01-30,600519.SH,2.9755413615828
2014-01-30,002085.SZ,-6.34765625
2014-01-30,600297.SH,1.3745704467354
2014-01-30,000333.SZ,-6.28
2014-01-30,600036.SH,-4.8668503213958
2014-01-30,601333.SH,-9.3189964157706
2014-01-30,601991.SH,-11.556603773585
2014-01-30,300024.SZ,13.757700205339
2014-01-30,000415.SZ,5.3097345132743
2014-01-30,600535.SH,4.5465143390068
2014-01-30,601992.SH,-12.647058823529
2014-01-30,600362.SH,-5.5712270803949
2014-01-30,600820.SH,-6.5049614112459
2014-01-30,601808.SH,-6.8996415770609
2014-01-30,601601.SH,-11.656772800863
2014-01-30,600489.SH,-6.5497076023392
2014-01-30,002555.SZ,58.954678362573
2014-01-30,000728.SZ,-6.3725490196078
2014-01-30,600867.SH,-16.917047681254
2014-01-30,002241.SZ,-17.673888255416
2014-01-30,000723.SZ,-14.086687306502
2014-01-30,600893.SH,25.196027182436
2014-01-30,601088.SH,-12.51580278129
2014-01-30,600015.SH,-4.6674445740957
2014-01-30,601006.SH,-1.7591339648173
2014-01-30,002230.SZ,13.479623824451
2014-01-30,603993.SH,-9.2449922958398
2014-01-30,600030.SH,-9.1764705882353
2014-01-30,000898.SZ,-8.7227414330218
2014-01-30,601939.SH,-4.8309178743961
2014-01-30,600583.SH,8.5051546391753
2014-01-30,601318.SH,-6.2065660196501
2014-01-30,000069.SZ,-7.5471698113207
2014-01-30,600999.SH,-7.0977917981073
2014-01-30,600048.SH,-5.8181818181818
2014-01-30,002466.SZ,10.214876033058
2014-01-30,600009.SH,-6.7737430167598
2014-01-30,601989.SH,-7.4866310160428
2014-01-30,002081.SZ,-13.102820746133
2014-01-30,600111.SH,-6.1966771441401
2014-01-30,002411.SZ,14.571746384872
2014-01-30,002572.SZ,-16.149635036496
2014-01-30,601009.SH,-2.5957972805933
2014-01-30,600795.SH,-2.1276595744681
2014-01-30,601117.SH,-22.5
2014-01-30,002304.SZ,-2.4497795198432
2014-01-30,002460.SZ,7.1672354948805
