time,thscode,ths_float_ashare_stock,ths_active_buy_large_amt_stock,ths_active_sell_large_amt_stock,ths_active_buy_main_amt_stock,ths_active_sell_main_amt_stock,ths_active_buy_middle_amt_stock,ths_active_sell_middle_amt_stock,ths_active_buy_small_amt_stock,ths_active_sellsmall_amt_stock,ths_dde_stock,ths_net_infow_stock,ths_dde_5d_stock,ths_dde_10d_stock,ths_dde_20d_stock
2014-01-30,300144.SZ,195442202,13617556,8884624,6447318,8468537,7751360,6795158,,,-4096439,-185916,2899624,-7694760,-10674880
2014-01-30,600029.SH,7022650000,4773004,5885005,1441395,3130902,1177325,3263322,,,-5730225,-2169609,-7866872,-10848371,-89133139
2014-01-30,600690.SH,2720835940,11783674,11455584,5894623,14995505,22565381,25885039,,,-15743855,-742837,46638575,274958783,368046770
2014-01-30,601958.SH,3226604400,0,1137451,844988,1865591,3930025,4346617,,,-3632904,-558789,-9623645,-11655715,-35666222
2014-01-30,002673.SZ,628664100,8024530,13420490,8139196,8671257,6220093,6643726,,,-985344,-84396,-19425293,-19680184,-131144110
2014-01-30,600031.SH,7593706137,0,0,745648,2515101,7346237,9187105,,,-1104173,-186700,-13234093,-18489247,-108561041
2014-01-30,002236.SZ,624801688,33465092,49466827,8726985,22344280,6628426,14114401,,,-4516497,-127180,-80463023,-121490768,-276186215
2014-01-30,601988.SH,195742276042,14144973,6617165,2061360,6294206,3318527,9353059,,,-3342533,-1328984,7552962,-75723770,-358447250
2014-01-30,002385.SZ,912561927,14300113,41351556,8794465,21735672,6595988,5131385,,,-33733373,-2451420,-39260895,-83725532,-169826275
2014-01-30,000651.SZ,2986211564,18744961,105222921,30102823,85068498,65895313,101526022,,,-103007510,-3671423,-514495167,-531319397,-934591963
2014-01-30,002074.SZ,214964332,2179187,243601,4075305,2199320,4205641,1450404,,,3507905,586411,5290781,11911219,3119962
2014-01-30,002456.SZ,279272832,25423343,19881655,11626237,8695362,8848322,9634065,,,10588858,246478,-72285827,-242876297,-423671789
2014-01-30,000826.SZ,624091754,5263612,5751917,3518475,10154462,6525548,21440705,,,6051283,181403,58275351,71273431,-57770816
2014-01-30,600886.SH,6786023347,17725343,10047042,13320573,13803786,12970813,23610513,,,17591275,4099453,-22093599,-55473288,-90590831
2014-01-30,000786.SZ,575092963,1360290,10182805,3343746,18293852,10880973,16109534,,,-15892839,-1064661,-33272763,-59144330,-101074576
2014-01-30,601186.SH,10016245500,0,13216690,4122891,9907710,9331557,9786493,,,-19604424,-4759026,-133645289,-114354405,-208664320
2014-01-30,000625.SZ,3387524379,6964300,12809435,10243984,12537970,19410441,26960019,,,-8611302,-786695,-118153401,-138057603,-478146090
2014-01-30,601012.SH,311027436,1268800,1227256,1562397,18333755,10983105,13821355,,,-11318296,-727675,-38922673,-41643418,-24194807
2014-01-30,300015.SZ,345453960,17760570,40808328,6356135,11724401,7458630,12828868,,,-9899597,-306579,-20588048,-22589596,-56755492
2014-01-30,600050.SH,21196596395,16193888,54424369,4868529,18319839,13550146,19061875,,,-38640233,-12849859,-55042187,-105857399,-483031132
2014-01-30,601933.SH,1535800000,2470859,2456409,4768009,6205583,12150187,22097146,,,-3907178,-271180,-23221248,-31606033,33887995
2014-01-30,002624.SZ,78500000,599835,2924010,1179332,2053945,1414058,3821118,,,-1268122,-163533,-16053103,-33287549,-42478560
2014-01-30,600157.SH,1433947546,0,4655840,6059767,8058001,10199781,14110195,,,-13522286,-2897569,-37665024,-48811896,-94476563
2014-01-30,002024.SZ,4940714125,337901840,709091760,103913440,112283453,85397454,85967580,,,-244341405,-22913719,-116178514,-181586969,-291068496
2014-01-30,601099.SH,1653644684,41452339,30875781,59857426,71152928,76942097,65527207,,,23630371,3018978,96888714,225169710,266174869
2014-01-30,600196.SH,1904392364,4115913,46380841,19475174,45040006,33914630,52705436,,,-53079940,-2937814,-40509100,-305052242,-440327392
2014-01-30,600018.SH,20990800132,3477676,5283817,7990662,20222502,23404968,32979376,,,-20639205,-4131737,-33497484,-91280275,-231852680
2014-01-30,600900.SH,9745941480,12987497,8184034,3219260,14719056,4729580,15844000,,,4831509,798157,20217719,57424110,-147924810
2014-01-30,600271.SH,923400000,20657258,20741533,32604707,20943790,34035224,53010714,,,9987362,475611,77306626,140733033,-11134897
2014-01-30,600585.SH,3999702579,3807293,17440819,13107169,33123354,21720953,31642784,,,-12423910,-789742,-70264758,72428864,-56275180
2014-01-30,600016.SH,22588209933,97924582,99921324,50848392,68585322,53816011,102628298,,,41682879,5632760,340798800,178522976,-116936866
2014-01-30,002470.SZ,592540000,7183945,7871059,1778797,2879956,1251527,2161749,,,1102926,49458,9913635,-19024336,-63234463
2014-01-30,601607.SH,1922935018,5954964,6385835,11152139,14889176,24423072,31950374,,,-5460943,-409907,-98211951,-89858474,-330757987
2014-01-30,600741.SH,2583200175,0,5823113,2199134,4731096,4683580,7782525,,,-6156567,-697104,-1988493,-46210461,-181632996
2014-01-30,600372.SH,902829070,75712958,52016898,52348885,34825279,59649628,42828452,,,31322912,1200948,32296807,71065805,142290560
2014-01-30,000768.SZ,2339802190,27530989,7944972,24789791,15097532,34745363,30641132,,,12673448,1359964,-913948,-19155947,-127225248
2014-01-30,601390.SH,17092510000,1284080,11622582,4721201,11086696,5073979,4961147,,,-16043093,-6666332,-39834323,-44590958,-193381063
2014-01-30,002065.SZ,594702293,43453630,59878720,20882940,15821529,14703049,11276230,,,21900372,551504,64262071,53440774,-9502817
2014-01-30,002007.SZ,576121607,23960485,33451008,14891788,14439005,9246105,11569603,,,822385,24306,-68928644,-82907689,-68323151
2014-01-30,601727.SH,9850714660,0,700143,233288,1218791,1837046,3464514,,,-2126190,-605187,-3782794,-6425010,-12796503
2014-01-30,600066.SH,1222649622,0,2280065,898000,4649729,3051636,5376849,,,-6896681,-384277,-5578678,-14692766,75773523
2014-01-30,600570.SH,617805180,28045064,14802506,40499055,30506004,101312963,41935167,,,1716127,55466,75322471,65166093,-23051111
2014-01-30,000568.SZ,1400254476,6269751,17311328,16290352,46804714,27957376,51560198,,,-18107689,-1094833,-229946545,-277118412,-326766635
2014-01-30,601718.SH,3857000000,0,0,1149394,1284418,1749789,3611128,,,611191,231186,-1214471,-2405759,-32770473
2014-01-30,000959.SZ,1206150119,0,880841,1989765,3944546,3801027,3398885,,,-4649642,-2383044,-10598073,-13761668,-21615897
2014-01-30,000792.SZ,577154370,0,0,944876,4950950,3012268,7176410,,,3454071,230050,-11552188,-19706410,-68687415
2014-01-30,300027.SZ,812103000,561886220,348349630,118725914,110700173,104554522,85448563,,,60778289,1943403,-449774904,-856933287,-821376200
2014-01-30,000338.SZ,971049175,0,0,4431156,7056940,11334934,32018203,,,9223072,525166,-23139546,-26301517,-56220513
2014-01-30,000963.SZ,279941422,0,1645002,1775232,4865188,975389,3315670,,,-1548680,-33588,-1827283,4023923,37315969
2014-01-30,600010.SH,7871012079,88389014,94816065,41563487,23818084,72684765,16570714,,,-109645277,-27340438,-255813003,-320642292,-590498926
2014-01-30,002294.SZ,286981740,6018406,32548870,5927885,10300524,4893804,5983725,,,-19926054,-625207,-82326441,-128369513,-196563850
2014-01-30,600104.SH,9242421691,6181426,10431408,8299685,22171600,13108669,27932679,,,-30435217,-2341733,-100457579,-113398858,-558980494
2014-01-30,601377.SH,2079360000,0,4446039,3458136,3328926,10820141,17587464,,,-1429237,-157508,-31277857,-24815339,-48201859
2014-01-30,300251.SZ,142423050,116846864,148463980,35942505,46931845,37110946,38197370,,,-19456215,-393998,-72508172,6379539,-61101328
2014-01-30,002500.SZ,2399800000,4506271,12969035,2607607,4464296,4072208,5117585,,,-7040931,-1033425,-8928106,-812231,-42928105
2014-01-30,300059.SZ,511986432,247396890,182186520,43033067,66558094,35768154,40866864,,,40202986,2023683,84411644,56355215,-45986617
