time,thscode,ths_eps_fore_org_num_consensus_stock,ths_fore_eps_median_consensus_stock,ths_fore_roe_median_consensus_stock,ths_fore_np_growth_consensus_stock,ths_np_growth_3y_consensus_stock,ths_rating_org_num_stock,ths_rating_upper_num_stock,ths_rating_lower_num_stock,ths_rating_keep_num_stock,ths_rating_buy_num_stock,ths_rating_in_held_num_stock,ths_rating_neutrality_num_stock,ths_rating_de_held_num_stock,ths_rating_sell_num_stock,ths_target_price_compre_value_stock
2014-01-30,300144.SZ,28,0.6705,11.025,21.999952797394,17.552842954068,10,1,,9,5,5,0,0,0,24.0833
2014-01-30,600029.SH,15,0.24,7.1,27.743369428322,25.656510335212,7,,,7,0,3,4,0,0,3.0
2014-01-30,600690.SH,23,1.6064,26.88,13.162518649316,14.781727372431,12,,,12,6,6,0,0,0,24.3525
2014-01-30,601958.SH,7,0.09,1.8,65.51928262491,83.981219875216,2,,1,1,0,1,1,0,0,
2014-01-30,002673.SZ,12,0.3042,7.5,32.385177289154,2.7756394595907,3,,,3,0,1,2,0,0,
2014-01-30,600031.SH,15,0.66,17.8,100.76317218483,57.799503090673,2,,,2,0,2,0,0,0,9.3
2014-01-30,002236.SZ,21,1.4103,25.495,46.723409674328,20.86761026093,3,1,,2,2,1,0,0,0,
2014-01-30,601988.SH,19,0.5899,15.35,6.2222571261819,7.7022785487089,6,,,6,0,5,1,0,0,
2014-01-30,002385.SZ,29,0.6594,21.27,46.29771911438,-2.1212362752483,13,,,13,10,3,0,0,0,20.66
2014-01-30,000651.SZ,25,4.2362,29.4,14.556167524682,16.219586603906,19,1,,18,15,4,0,0,0,40.2438
2014-01-30,002456.SZ,20,0.8019,20.65,47.956705898103,66.092076792842,2,,,2,2,0,0,0,0,
2014-01-30,000826.SZ,30,0.9654,15.31,38.554476339259,22.139063222272,13,1,,12,10,2,1,0,0,42.712
2014-01-30,600886.SH,12,0.57,23.0,16.841863713393,12.927355733074,7,,,7,7,0,0,0,0,5.12
2014-01-30,000786.SZ,15,1.4562,20.355,12.585669766608,16.029132777288,4,,,4,4,0,0,0,0,
2014-01-30,601186.SH,12,0.874,12.465,5.0868515985091,14.999506558205,,,,,,,,,,
2014-01-30,000625.SZ,37,1.1053,24.58,49.098093804762,-14.491043828219,18,,,18,14,4,0,0,0,15.2033
2014-01-30,601012.SH,21,0.49,8.035,296.73037980701,3.1947266257213,3,,,3,3,0,0,0,0,21.35
2014-01-30,300015.SZ,21,0.4899,16.5,40.949495641757,35.163374591699,8,1,,5,2,6,0,0,0,38
2014-01-30,600050.SH,24,0.255,7.3,70.411898578767,165.00430363223,3,,,3,2,1,0,0,0,4.8
2014-01-30,601933.SH,30,0.2885,15.6,31.563193977149,18.240362742778,13,1,,12,6,6,1,0,0,17.1971
2014-01-30,600157.SH,21,0.2113,6.9,69.386828320984,54.852034388776,9,,1,8,5,4,0,0,0,7.8
2014-01-30,002024.SZ,24,0.0605,1.525,47.803414028378,1.3421218767286,10,,,10,2,5,2,1,0,11.8369
2014-01-30,601099.SH,7,0.0391,2.51,63.706046255741,,4,1,,3,2,0,2,0,0,7.5
2014-01-30,600196.SH,11,0.9692,13.25,8.429223838013,13.466511649459,6,,1,3,2,4,0,0,0,25
2014-01-30,600018.SH,11,0.26,11.1,11.709894565438,3.9116528213276,7,,,7,1,3,2,1,0,4.33
2014-01-30,600900.SH,7,0.615,,10.211502036789,0.87702197865172,6,,,6,2,4,0,0,0,8.395
2014-01-30,600271.SH,12,1.41,18.2,21.308630323098,18.151867410251,4,,,3,2,2,0,0,0,
2014-01-30,600585.SH,24,2.1345,16.96,18.288900557222,26.582591121214,12,,,12,9,3,0,0,0,20.6667
2014-01-30,600016.SH,29,1.4667,21.4,18.526208803225,7.9101200795929,13,,1,12,6,6,1,0,0,10.1267
2014-01-30,002470.SZ,21,1.2083,19.05,38.102381289382,34.563704838122,10,,,10,5,5,0,0,0,25
2014-01-30,601607.SH,15,0.96,9.3,13.701513405305,13.877947021929,4,,,4,0,4,0,0,0,
2014-01-30,600741.SH,18,1.604,17.9,18.299786456841,9.738389660379,7,,1,6,5,1,1,0,0,13.455
2014-01-30,600372.SH,15,0.4849,12.95,43.257969327715,13.579301594003,6,,,6,4,2,0,0,0,23
2014-01-30,000768.SZ,9,0.18,,42.020841713366,23.196044858726,4,,,4,0,2,1,1,0,
2014-01-30,601390.SH,11,0.4534,10.7,5.2935012037419,13.871223642212,,,,,,,,,,
2014-01-30,002065.SZ,17,0.689,23.75,35.24246945961,31.4878625552,3,,,3,3,0,0,0,0,42.6
2014-01-30,002007.SZ,22,0.9794,15.9,19.480251018902,24.736270311073,4,1,1,2,1,3,0,0,0,
2014-01-30,601727.SH,2,0.27,,41.79351317529,21.463897051574,,,,,,,,,,
2014-01-30,600066.SH,30,1.3967,20.24,14.961722392905,5.5092411063223,14,1,,13,9,4,1,0,0,21.05
2014-01-30,600570.SH,20,0.625,20.555,19.139760119199,28.694465135293,8,2,,6,7,1,0,0,0,25.5
2014-01-30,000568.SZ,22,2.9919,24.75,19.923593192687,28.556551633721,10,,1,9,4,3,3,0,0,21.0667
2014-01-30,601718.SH,1,0.29,,18.02124217271,,,,,,,,,,,
2014-01-30,000959.SZ,2,0.0168,0.4,138.8468431051,16.517008872084,1,,,1,0,1,0,0,0,
2014-01-30,000792.SZ,9,1.299,11.1,96.52965835426,-165.44778127623,2,,,2,0,2,0,0,0,
2014-01-30,300027.SZ,31,0.6135,23.52,19.726983852841,11.215057934651,11,1,,10,7,4,0,0,0,39
2014-01-30,000338.SZ,18,2.1639,13,22.56030663009,10.782080629561,8,,,8,2,6,0,0,0,26.6667
2014-01-30,000963.SZ,23,1.7448,22.4,30.953506203407,23.642523511262,9,1,,8,3,6,0,0,0,55.67
2014-01-30,600010.SH,9,0.0256,4.2,238.28801992277,,9,1,,5,3,6,0,0,0,6.125
2014-01-30,002294.SZ,16,1.62,,27.73415455706,14.752581223935,7,,,7,2,4,1,0,0,
2014-01-30,600104.SH,31,2.36,16.9,3.8018486338519,8.3397197882678,13,,,13,9,4,0,0,0,19.2025
2014-01-30,601377.SH,17,0.175,6.54,31.31609458755,-4.490126542958,6,,,5,2,3,1,0,0,11.9767
2014-01-30,300251.SZ,29,0.5,20,57.519308029355,17.20331522787,14,1,,13,8,5,1,0,0,47.9167
2014-01-30,002500.SZ,7,0.13,4.83,18.034211787104,33.642252892064,2,,,2,0,0,2,0,0,
2014-01-30,300059.SZ,10,0.0722,6.9,1690.401099933,49.28998013141,3,,,3,1,2,0,0,0,
2014-01-30,600887.SH,36,1.1674,19.32,8.8044340644018,12.406223809423,21,,,21,18,3,0,0,0,51.1
2014-01-30,600390.SH,2,0.1025,4.4,305.80404347668,9.9731363794942,,,,,,,,,,
2014-01-30,002594.SZ,13,0.6655,7.25,201.11642004533,13.299214844903,4,,,3,0,2,2,0,0,39.2
2014-01-30,600816.SH,5,0.61,26.47,-7.2367493224199,5.316005128768,2,2,,,1,1,0,0,0,17.6
2014-01-30,002153.SZ,7,1.41,22.29,19.361180366928,19.751249699354,1,,,1,1,0,0,0,0,
2014-01-30,601336.SH,18,1.675,11.8,20.921514490678,36.176599898454,7,,,7,2,4,1,0,0,
2014-01-30,600703.SH,23,0.5732,17.35,32.286016387614,23.552526185849,8,,,8,4,4,0,0,0,33.2
2014-01-30,600660.SH,14,1.04,24.8,7.7415146974878,16.587506525978,6,,,6,2,4,0,0,0,12
2014-01-30,601899.SH,10,0.1207,11.6,25.797655259399,27.206211513207,3,,,3,0,0,3,0,0,2.675
2014-01-30,000503.SZ,1,0.0712,4.6,393.13350809502,265.0224952425,1,,,1,0,1,0,0,0,
2014-01-30,002310.SZ,18,1.3191,27.17,52.324116955686,23.59784750465,4,,1,3,2,2,0,0,0,
2014-01-30,300017.SZ,25,0.8516,25.4,20.034741886758,21.15057840946,8,,,8,6,2,0,0,0,124.35
2014-01-30,000402.SZ,17,1.0431,12.05,10.062070399011,13.723376756469,3,,1,2,2,1,0,0,0,
2014-01-30,000709.SZ,7,0.0532,0.9,387.3094791957,45.332500483361,5,,,5,1,3,1,0,0,
2014-01-30,601766.SH,25,0.36,12,24.277056207633,14.592926638764,6,,,6,4,2,0,0,0,5.175
2014-01-30,601633.SH,33,3.65,29.145,34.562934007132,15.003595235232,17,,1,16,9,7,1,0,0,52.3
2014-01-30,600188.SH,15,0.2442,2.8,23.429391344159,12.447265203947,3,,,3,0,1,2,0,0,
2014-01-30,000001.SZ,26,1.6,17.2,22.958768755019,9.6553863585665,13,1,,12,7,6,0,0,0,14.6067
2014-01-30,002146.SZ,33,1.962,25.3,27.331728191093,27.803034492718,14,,,14,11,3,0,0,0,14.3533
2014-01-30,601888.SH,26,1.65,17,22.999562666368,30.530406651921,11,,,11,10,1,0,0,0,41.4829
2014-01-30,600383.SH,30,1.0078,14.345,25.11784200883,18.42667130849,13,,,13,9,4,0,0,0,8.29
2014-01-30,600498.SH,30,0.7812,11.15,53.899724579226,22.464188216148,3,,,3,1,2,0,0,0,18
2014-01-30,600085.SH,21,0.6399,16.3,30.10329757786,11.404586968989,9,1,,8,2,6,1,0,0,25
2014-01-30,601998.SH,21,0.86,16.84,2.2848116047043,9.3737476186567,8,,,8,2,5,1,0,0,4.18
2014-01-30,600438.SH,12,0.39,12.835,10.494611667235,21.195185424004,7,,,7,4,3,0,0,0,12.23
2014-01-30,601877.SH,16,1.7613,24.185,13.95580147485,22.768107195837,2,,,2,2,0,0,0,0,36.75
2014-01-30,000538.SZ,23,2.4733,22.65,10.095455667145,11.278509592446,14,1,,13,9,5,0,0,0,117.592
2014-01-30,002202.SZ,17,0.3455,6.1,109.14648562363,19.823120453764,10,1,,6,8,2,0,0,0,12.25
2014-01-30,601628.SH,17,1.17,12.1,36.527102338452,15.458238290732,8,,,8,3,4,1,0,0,19.465
2014-01-30,600482.SH,4,0.3384,11.305,77.354479421966,18.42787387484,,,,,,,,,,
2014-01-30,002601.SZ,5,1.0741,6.86,855.96643443671,16.628697090784,,,,,,,,,,
2014-01-30,601901.SH,18,0.1755,7.6,29.069451425734,,12,1,1,7,4,4,4,0,0,7.228
2014-01-30,002508.SZ,23,1.5594,20.95,27.989781614066,11.371520032141,14,,,14,9,5,0,0,0,48.608
2014-01-30,600019.SH,16,0.4445,5.75,28.419360303759,9.6156544991508,10,,,10,4,6,0,0,0,4.9667
2014-01-30,600549.SH,17,0.664,11.85,15.577860545388,20.067313606262,3,,,3,0,3,0,0,0,
2014-01-30,000858.SZ,28,2.62,21.06,25.583224011101,24.885822188838,8,,,8,3,2,3,0,0,14.9
2014-01-30,600153.SH,16,1.1129,23,17.695318722822,15.262470499706,7,,,7,2,5,0,0,0,
2014-01-30,600519.SH,31,14.0545,32.3,5.0302188940701,20.808663745362,15,1,,14,9,6,0,0,0,181.2
2014-01-30,002085.SZ,5,0.96,18.265,27.749003034964,9.2672492409486,1,,,1,1,0,0,0,0,
2014-01-30,000333.SZ,18,2.0949,25.65,66.909074091817,16.447644424795,16,,,16,11,5,0,0,0,58.684
2014-01-30,600036.SH,22,2.3343,19.1,14.404265378804,16.043692963071,13,,,13,5,8,0,0,0,14.0833
2014-01-30,601333.SH,15,0.22,5.3,25.037480275437,12.970758038591,7,,1,6,1,6,0,0,0,
2014-01-30,601991.SH,9,0.37,12.67,43.100773146842,34.890766100164,4,,,4,0,4,0,0,0,5.275
